DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,DK,2011,1.75,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,DK,2012,1.73,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,DK,2013,1.67,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,DK,2014,1.69,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,DK,2015,1.71,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,DK,2016,1.79,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,DK,2017,1.75,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,DK,2018,1.73,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,DK,2019,1.70,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,DK,2020,1.68,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA18,2009,1.57,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA18,2010,1.59,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA18,2011,1.57,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA18,2012,1.56,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA18,2013,1.54,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA18,2014,1.56,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA18,2015,1.56,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA18,2016,1.58,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA18,2017,1.56,b
