name,Data_2021,Riserve_2021,Perc_2021,Giorno
Germany,2021-03-13,"66,5232","27,7",72
Germany,2021-03-14,"66,2043","27,56",73
Germany,2021-03-15,"66,1785","27,42",74
Germany,2021-03-16,"65,7385","27,24",75
Germany,2021-03-17,"65,1651",27,76
Germany,2021-03-18,"64,3667","26,67",77
Germany,2021-03-19,"63,8339","26,45",78
Germany,2021-03-20,"63,4888","26,31",79
Germany,2021-03-21,"63,3438","26,25",80
Germany,2021-03-22,"62,6718","25,97",81
Germany,2021-03-23,"62,1921","25,77",82
Germany,2021-03-24,"61,9777","25,68",83
Germany,2021-03-25,"61,9077","25,65",84
Germany,2021-03-26,"62,2199","25,78",85
Germany,2021-03-27,"62,5927","25,94",86
Germany,2021-03-28,"62,9601","26,09",87
Germany,2021-03-29,"62,5165","25,91",88
Germany,2021-03-30,"63,6908","26,39",89
Germany,2021-03-31,"65,1007","26,38",90
Germany,2021-04-01,"65,7322","27,16",91
Germany,2021-04-02,"66,0509","27,29",92
Germany,2021-04-03,"66,6391","27,54",93
Germany,2021-04-04,"67,1604","27,75",94
Germany,2021-04-05,"67,2287","27,78",95
Germany,2021-04-06,"66,5634","27,51",96
Germany,2021-04-07,"65,8151","27,2",97
Germany,2021-04-08,"64,9873","26,85",98
Germany,2021-04-09,"64,5867","26,69",99
Germany,2021-04-10,"64,5243","26,66",100
Germany,2021-04-11,"64,5752","26,68",101
Germany,2021-04-12,"63,5486","26,26",102
Germany,2021-04-13,"62,2862","25,74",103
Germany,2021-04-14,"61,1213","25,26",104
Germany,2021-04-15,"60,2375","24,89",105
Germany,2021-04-16,"59,8957","24,75",106
Germany,2021-04-17,"59,8279","24,72",107
Germany,2021-04-18,"59,8714","24,74",108
Germany,2021-04-19,"59,7371","24,69",109
Germany,2021-04-20,"59,8426","24,73",110
Germany,2021-04-21,"60,084","24,83",111
Germany,2021-04-22,"60,1441","24,85",112
Germany,2021-04-23,"60,2489","24,9",113
Germany,2021-04-24,"60,6844","25,08",114
Germany,2021-04-25,"61,1933","25,29",115
Germany,2021-04-26,"61,5481","25,43",116
Germany,2021-04-27,"62,027","25,63",117
Germany,2021-04-28,"62,3659","25,77",118
Germany,2021-04-29,"62,4306","25,8",119
Germany,2021-04-30,"62,2275","25,71",120
Germany,2021-05-01,"62,3358","25,76",121
Germany,2021-05-02,"62,4073","25,79",122
Germany,2021-05-03,"62,1066","25,66",123
Germany,2021-05-04,"62,1606","25,69",124
Germany,2021-05-05,"61,7441","25,51",125
Germany,2021-05-06,"61,0868","25,24",126
Germany,2021-05-07,"60,7186","25,09",127
Germany,2021-05-08,"61,0752","25,24",128
Germany,2021-05-09,"62,1347","25,68",129
Germany,2021-05-10,"63,1921","26,11",130
Germany,2021-05-11,"63,9208","26,41",131
Germany,2021-05-12,"64,54","26,67",132
Germany,2021-05-13,"65,2236","26,89",133
Germany,2021-05-14,"65,7508","27,17",134
Germany,2021-05-15,"66,3994","27,44",135
Germany,2021-05-16,"67,0597","27,71",136
Germany,2021-05-17,"67,3671","27,84",137
Germany,2021-05-18,"67,552","27,91",138
Germany,2021-05-19,"67,7746","28,01",139
Germany,2021-05-20,"68,4352","28,28",140
Germany,2021-05-21,"69,3201","28,65",141
Germany,2021-05-22,"70,0166","28,93",142
Germany,2021-05-23,"70,7551","29,24",143
Germany,2021-05-24,"71,4425","29,52",144
Germany,2021-05-25,"71,6761","29,62",145
Germany,2021-05-26,"71,951","29,73",146
Germany,2021-05-27,"72,0016","29,75",147
Germany,2021-05-28,"72,3372","29,89",148
Germany,2021-05-29,"73,2102","30,25",149
Germany,2021-05-30,"74,2561","30,69",150
Germany,2021-05-31,"75,1099","31,04",151
Germany,2021-06-01,"76,2111","31,46",152
Germany,2021-06-02,"77,4812","31,98",153
Germany,2021-06-03,"78,6703","32,47",154
Germany,2021-06-04,"79,756","32,92",155
Germany,2021-06-05,"81,0739","33,47",156
Germany,2021-06-06,"82,3416","33,99",157
Germany,2021-06-07,"83,1137","34,31",158
Germany,2021-06-08,"83,7815","34,58",159
Germany,2021-06-09,"84,1503","34,74",160
Germany,2021-06-10,"84,7257","34,97",161
Germany,2021-06-11,"85,3578","35,23",162
Germany,2021-06-12,"86,3485","35,64",163
Germany,2021-06-13,"87,3781","36,07",164
Germany,2021-06-14,"88,2064","36,41",165
Germany,2021-06-15,"88,6858","36,61",166
Germany,2021-06-16,"89,2296","36,83",167
Germany,2021-06-17,"89,9978","37,15",168
Germany,2021-06-18,"90,8961","37,52",169
Germany,2021-06-19,"92,0561",38,170
Germany,2021-06-20,"93,1095","38,43",171
Germany,2021-06-21,"94,0542","38,83",172
Germany,2021-06-22,"94,4452","38,99",173
Germany,2021-06-23,"94,9394","39,19",174
Germany,2021-06-24,"95,4252","39,39",175
Germany,2021-06-25,"96,0596","39,65",176
Germany,2021-06-26,"96,9869","40,04",177
Germany,2021-06-27,"98,0377","40,47",178
Germany,2021-06-28,"98,7603","40,77",179
Germany,2021-06-29,"99,5261","41,09",180
Germany,2021-06-30,"100,1848","41,36",181
Germany,2021-07-01,"101,0884","41,71",182
Germany,2021-07-02,"101,6886","41,95",183
Germany,2021-07-03,"102,8864","42,45",184
Germany,2021-07-04,"104,0016","42,91",185
Germany,2021-07-05,"104,9635","43,3",186
Germany,2021-07-06,"105,5463","43,54",187
Germany,2021-07-07,"105,9404","43,71",188
Germany,2021-07-08,"106,2701","43,84",189
Germany,2021-07-09,"106,9584","44,13",190
Germany,2021-07-10,"107,9574","44,54",191
Germany,2021-07-11,"108,9613","44,95",192
Germany,2021-07-12,"109,6417","45,24",193
Germany,2021-07-13,"109,7606","45,28",194
Germany,2021-07-14,"109,7804","45,29",195
Germany,2021-07-15,"109,779","45,47",196
Germany,2021-07-16,"110,3509","45,71",197
Germany,2021-07-17,"110,8927","45,94",198
Germany,2021-07-18,"111,4079","46,15",199
Germany,2021-07-19,"111,7562","46,29",200
Germany,2021-07-20,"112,0317","46,41",201
Germany,2021-07-21,"112,1245","46,45",202
Germany,2021-07-22,"112,1372","46,45",203
Germany,2021-07-23,"112,9881","46,8",204
Germany,2021-07-24,"114,1535","47,29",205
Germany,2021-07-25,"115,099","47,68",206
Germany,2021-07-26,"115,905","48,01",207
Germany,2021-07-27,"116,8238","48,39",208
Germany,2021-07-28,"117,7799","48,79",209
Germany,2021-07-29,"118,6841","49,16",210
Germany,2021-07-30,"119,4949","49,49",211
Germany,2021-07-31,"120,3497","49,84",212
Germany,2021-08-01,"121,3053","50,24",213
Germany,2021-08-02,"122,1726","50,6",214
Germany,2021-08-03,"122,7946","50,86",215
Germany,2021-08-04,"123,5425","51,16",216
Germany,2021-08-05,"124,2001","51,44",217
Germany,2021-08-06,"125,2942","51,89",218
Germany,2021-08-07,"126,1595","52,25",219
Germany,2021-08-08,"126,9921","52,59",220
Germany,2021-08-09,"127,5853","52,84",221
Germany,2021-08-10,"128,1848","53,09",222
Germany,2021-08-11,"128,7219","53,31",223
Germany,2021-08-12,"129,1582","53,49",224
Germany,2021-08-13,"129,8299","53,77",225
Germany,2021-08-14,"130,7349","54,15",226
Germany,2021-08-15,"131,5646","54,49",227
Germany,2021-08-16,"132,2532","54,78",228
Germany,2021-08-17,"132,6365","54,94",229
Germany,2021-08-18,"133,1123","55,13",230
Germany,2021-08-19,"133,5899","55,33",231
Germany,2021-08-20,"134,2848","55,62",232
Germany,2021-08-21,"135,1423","55,97",233
Germany,2021-08-22,"136,0274","56,34",234
Germany,2021-08-23,"136,9598","56,72",235
Germany,2021-08-24,"137,8838","57,11",236
Germany,2021-08-25,"138,6968","57,44",237
Germany,2021-08-26,"139,5806","57,81",238
Germany,2021-08-27,"140,5289","58,2",239
Germany,2021-08-28,"141,5406","58,62",240
Germany,2021-08-29,"142,5235","59,03",241
Germany,2021-08-30,"143,4124","59,39",242
Germany,2021-08-31,"143,9638","59,62",243
Germany,2021-09-01,"144,6421","59,83",244
Germany,2021-09-02,"145,1191","60,03",245
Germany,2021-09-03,"145,6892","60,26",246
Germany,2021-09-04,"146,4913","60,59",247
Germany,2021-09-05,"147,3225","60,94",248
Germany,2021-09-06,"147,873","61,17",249
Germany,2021-09-07,"148,3369","61,36",250
Germany,2021-09-08,"149,069","61,67",251
Germany,2021-09-09,"149,8584","61,99",252
Germany,2021-09-10,"150,5416","62,28",253
Germany,2021-09-11,"151,3999","62,63",254
Germany,2021-09-12,"152,3092","63,01",255
Germany,2021-09-13,"152,885","63,25",256
Germany,2021-09-14,"153,3219","63,43",257
Germany,2021-09-15,"153,6746","63,57",258
Germany,2021-09-16,"153,9958","63,71",259
Germany,2021-09-17,"154,4237","63,88",260
Germany,2021-09-18,"155,1796","64,2",261
Germany,2021-09-19,"155,9357","64,51",262
Germany,2021-09-20,"156,2471","64,64",263
Germany,2021-09-21,"156,6497","64,8",264
Germany,2021-09-22,"156,9399","64,92",265
Germany,2021-09-23,"157,7519","65,2",266
Germany,2021-09-24,"158,5365","65,52",267
Germany,2021-09-25,"159,8326","66,06",268
Germany,2021-09-26,"161,2552","66,64",269
Germany,2021-09-27,"162,3205","67,06",270
Germany,2021-09-28,"163,2588","67,36",271
Germany,2021-09-29,"164,162","67,73",272
Germany,2021-09-30,"165,2196","67,89",273
Germany,2021-10-01,"165,9779","68,21",274
Germany,2021-10-02,"167,0505","68,65",275
Germany,2021-10-03,"168,4915","69,25",276
Germany,2021-10-04,"169,2555","69,56",277
Germany,2021-10-05,"170,4574","70,05",278
Germany,2021-10-06,"170,9491","70,25",279
Germany,2021-10-07,"170,8463","70,21",280
Germany,2021-10-08,"171,2856","70,39",281
Germany,2021-10-09,"172,1653","70,75",282
Germany,2021-10-10,"172,7019","70,97",283
Germany,2021-10-11,"172,6236","70,94",284
Germany,2021-10-12,"173,2702","71,21",285
Germany,2021-10-13,"172,9502","71,08",286
Germany,2021-10-14,"173,1814","71,17",287
Germany,2021-10-15,"173,459","71,28",288
Germany,2021-10-16,"173,7426","71,4",289
Germany,2021-10-17,"174,0552","71,53",290
Germany,2021-10-18,"174,2366","71,6",291
Germany,2021-10-19,"174,5118","71,72",292
Germany,2021-10-20,"175,105","71,96",293
Germany,2021-10-21,"174,9326","71,89",294
Germany,2021-10-22,"174,9099","71,88",295
Germany,2021-10-23,"174,8215","71,84",296
Germany,2021-10-24,"174,818","71,84",297
Germany,2021-10-25,"174,4368","71,68",298
Germany,2021-10-26,"174,4143","71,67",299
Germany,2021-10-27,"175,3177","72,05",300
Germany,2021-10-28,"175,3797","72,07",301
Germany,2021-10-29,"175,3906","72,08",302
Germany,2021-10-30,"175,7176","72,21",303
Germany,2021-10-31,"175,9101","72,29",304
Germany,2021-11-01,"176,207","72,41",305
Germany,2021-11-02,"175,625","72,17",306
Germany,2021-11-03,"174,8044","71,83",307
Germany,2021-11-04,"174,1639","71,57",308
Germany,2021-11-05,"173,6582","71,36",309
Germany,2021-11-06,"173,7863","71,41",310
Germany,2021-11-07,"173,9221","71,47",311
Germany,2021-11-08,"173,1814","71,17",312
Germany,2021-11-09,"172,7103","70,98",313
Germany,2021-11-10,"172,1677","70,75",314
Germany,2021-11-11,"171,4824","70,47",315
Germany,2021-11-12,"170,6033","70,11",316
Germany,2021-11-13,"170,6414","70,13",317
Germany,2021-11-14,"170,8516","70,21",318
Germany,2021-11-15,"170,3924","70,02",319
Germany,2021-11-16,"169,6235","69,71",320
Germany,2021-11-17,"169,3282","69,59",321
Germany,2021-11-18,"169,2019","69,54",322
Germany,2021-11-19,"169,503","69,66",323
Germany,2021-11-20,"169,7908","69,78",324
Germany,2021-11-21,"169,9011","69,82",325
Germany,2021-11-22,"169,2066","69,53",326
Germany,2021-11-23,"167,9625","69,02",327
Germany,2021-11-24,"166,5872","68,46",328
Germany,2021-11-25,"165,152","67,87",329
Germany,2021-11-26,"163,7958","67,31",330
Germany,2021-11-27,"162,71","66,86",331
Germany,2021-11-28,"161,6122","66,41",332
Germany,2021-11-29,"159,8736","65,7",333
Germany,2021-11-30,"158,4479","65,12",334
Germany,2021-12-01,"157,5219","64,73",335
Germany,2021-12-02,"156,0997","64,15",336
Germany,2021-12-03,"154,6985","63,57",337
Germany,2021-12-04,"153,8196","63,21",338
Germany,2021-12-05,"152,972","62,86",339
Germany,2021-12-06,"151,3635","62,2",340
Germany,2021-12-07,"149,9572","61,63",341
Germany,2021-12-08,"148,5415","61,04",342
Germany,2021-12-09,"146,8673","60,36",343
Germany,2021-12-10,"145,4648","59,78",344
Germany,2021-12-11,"144,6286","59,44",345
Germany,2021-12-12,"144,2112","59,27",346
Germany,2021-12-13,"143,3625","58,92",347
Germany,2021-12-14,"142,4377","58,54",348
Germany,2021-12-15,"141,6468","58,21",349
Germany,2021-12-16,"140,9817","57,94",350
Germany,2021-12-17,"140,0425","57,55",351
Germany,2021-12-18,"139,511","57,33",352
Germany,2021-12-19,"138,9555","57,1",353
Germany,2021-12-20,"137,216","56,39",354
Germany,2021-12-21,"134,9558","55,46",355
Germany,2021-12-22,"132,8052","54,58",356
Germany,2021-12-23,"131,3304","53,97",357
Germany,2021-12-24,"130,602","53,67",358
Germany,2021-12-25,"130,2094","53,51",359
Germany,2021-12-26,"129,6727","53,29",360
Germany,2021-12-27,"129,3651","53,16",361
Germany,2021-12-28,"129,1437","53,07",362
Germany,2021-12-29,"129,4796","53,21",363
Germany,2021-12-30,"129,9121","53,39",364
Germany,2021-12-31,"130,8828","53,79",365
